# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1)               |              walk_component() {
 1)               |                lookup_fast() {
 1)   0.141 us    |                  __d_lookup_rcu();
 1)   6.383 us    |                }
 1) + 12.586 us   |              }
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.065 us    |                  generic_permission();
 1)   0.073 us    |                  security_inode_permission();
 1) + 15.552 us   |                }
 1) + 23.220 us   |              }
 1) ! 215.836 us  |            }
 1)               |            walk_component() {
 1)               |              lookup_fast() {
 1)   1.150 us    |                __d_lookup_rcu();
 1)   9.037 us    |              }
 1) + 16.936 us   |            }
 1)   0.059 us    |            terminate_walk();
 1) ! 273.973 us  |          }
 1)   0.065 us    |          restore_nameidata();
 1)               |          putname() {
 1)   0.101 us    |            kmem_cache_free();
 1)   7.819 us    |          }
 1) ! 304.047 us  |        }
 1) ! 342.061 us  |      }
 1) ! 348.990 us  |    }
 1) ! 355.983 us  |  }
 1)               |  SyS_newstat() {
 1)               |    vfs_fstatat() {
 1)               |      user_path_at_empty() {
 1)               |        getname_flags() {
 1)               |          kmem_cache_alloc() {
 1)   0.058 us    |            _cond_resched();
 1)   0.058 us    |            __memcg_kmem_get_cache();
 1)   0.060 us    |            __memcg_kmem_put_cache();
 1) + 23.159 us   |          }
 1) + 30.800 us   |        }
 1)               |        filename_lookup() {
 0)   0.086 us    |  rcu_idle_exit();
 1)               |          path_lookupat() {
 1)               |            path_init() {
 0)   0.071 us    |  arch_cpu_idle_exit();
 1)   0.086 us    |              set_root();
 1)   0.071 us    |              nd_jump_root();
 0)               |  arch_cpu_idle_enter() {
 1) + 15.652 us   |            }
 0)   0.048 us    |    local_touch_nmi();
 1)               |            link_path_walk() {
 1)               |              inode_permission() {
 0)               |    atomic_notifier_call_chain() {
 2)   0.092 us    |  rcu_idle_exit();
 1)               |                __inode_permission() {
 0)   0.051 us    |      notifier_call_chain();
 1)   0.077 us    |                  generic_permission();
 2)   0.049 us    |  arch_cpu_idle_exit();
 0)   6.377 us    |    }
 0) + 18.965 us   |  }
 2)               |  arch_cpu_idle_enter() {
 1)   0.064 us    |                  security_inode_permission();
 0)   0.049 us    |  tick_check_broadcast_expired();
 2)   0.044 us    |    local_touch_nmi();
 1) + 15.573 us   |                }
 0)   0.053 us    |  cpuidle_get_cpu_driver();
 2)               |    atomic_notifier_call_chain() {
 1) + 23.344 us   |              }
 2)   0.047 us    |      notifier_call_chain();
