layer,tracer,workload,configuration,time
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5135697115
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5125199338
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5113902095
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5113453535
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5165229529
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5155314176
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5109780080
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5332838367
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5116896047
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5336870999
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5121862117
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5124577232
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5164263638
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5123932000
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5111036314
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5145628296
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5109563124
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5156247246
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5120381137
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5197468697
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5113119234
L1,Hypertracing_probe,syscall_benchmark,getcpu_1_10000000,5115558039
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6669973521
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6665246510
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6663792729
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6672902451
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6670124852
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6688520984
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6647364566
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6669683054
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6657696374
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6676292402
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6709354957
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6670734332
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6678309222
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6661574831
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6642525036
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6658127009
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6663794283
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6676661425
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6756982573
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6648114789
