layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,EXTERNAL_INTERRUPT,1909,2237798,1172.24
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,EPT_MISCONFIG,29,148182,5109.72
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,PENDING_INTERRUPT,34,69860,2054.71
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,CPUID,35,46791,1336.89
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,PAUSE_INSTRUCTION,23,26182,1138.35
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,MSR_READ,1,1511,1511.0
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,EXCEPTION_NMI,1,976,976.0
L1,Lttng_After,cpu_benchmark,1_10000,7243056079,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7290997442,HLT,288,223009132,774337.26
L1,Lttng_After,cpu_benchmark,1_10000,7290997442,MSR_WRITE,2500,5906671,2362.67
L1,Lttng_After,cpu_benchmark,1_10000,7290997442,PREEMPTION_TIMER,1781,4996430,2805.41
L1,Lttng_After,cpu_benchmark,1_10000,7290997442,IO_INSTRUCTION,291,2873158,9873.4
L1,Lttng_After,cpu_benchmark,1_10000,7290997442,EXTERNAL_INTERRUPT,1889,2190986,1159.87
L1,Lttng_After,cpu_benchmark,1_10000,7290997442,EPT_MISCONFIG,30,147499,4916.63
L1,Lttng_After,cpu_benchmark,1_10000,7290997442,PENDING_INTERRUPT,26,72736,2797.54
L1,Lttng_After,cpu_benchmark,1_10000,7290997442,CPUID,35,48219,1377.69
L1,Lttng_After,cpu_benchmark,1_10000,7290997442,PAUSE_INSTRUCTION,38,42975,1130.92
L1,Lttng_After,cpu_benchmark,1_10000,7290997442,MSR_READ,1,1738,1738.0
L1,Lttng_After,cpu_benchmark,1_10000,7290997442,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,HLT,301,217533235,722701.78
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,EXTERNAL_INTERRUPT,1846,6974282,3778.05
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,MSR_WRITE,2463,5749540,2334.36
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,PREEMPTION_TIMER,1771,4678174,2641.54
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,IO_INSTRUCTION,292,2687160,9202.6
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,EPT_MISCONFIG,29,130990,4516.9
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,CPUID,35,47201,1348.6
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,PENDING_INTERRUPT,22,46725,2123.86
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,PAUSE_INSTRUCTION,37,36159,977.27
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,MSR_READ,1,1486,1486.0
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,EXCEPTION_NMI,1,931,931.0
L1,Lttng_After,cpu_benchmark,1_10000,7249785145,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,HLT,303,218493505,721100.68
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,MSR_WRITE,2450,6115339,2496.06
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,PREEMPTION_TIMER,1767,5060045,2863.64
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,IO_INSTRUCTION,292,2704928,9263.45
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,EXTERNAL_INTERRUPT,1802,2214667,1229.0
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,EPT_MISCONFIG,29,133091,4589.34
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,CPUID,35,48599,1388.54
