"function_name","freq","percentage"
"acpi_ex_release_mutex_object",8,0
"acpi_ex_resolve_node_to_value",2598,0.0031
"acpi_ex_resolve_object",16,0
"acpi_ex_resolve_operands",41946,0.0497
"acpi_ex_resolve_to_value",66039,0.0782
"acpi_ex_start_trace_method",141,2e-04
"acpi_ex_start_trace_opcode",114513,0.1356
"acpi_ex_stop_trace_method",141,2e-04
"acpi_ex_stop_trace_opcode",114527,0.1356
"acpi_ex_store",28821,0.0341
"acpi_ex_store_object_to_node",16,0
"acpi_ex_system_memory_space_handler",8,0
"acpi_ex_system_wait_mutex",20,0
"acpi_ex_truncate_for32bit_table",140609,0.1665
"acpi_ex_write_data_to_field",16,0
"acpi_ex_write_with_update_rule",16,0
"acpi_find_child_device",29,0
"acpi_format_exception",1,0
"acpi_get_bus_type",404,5e-04
"acpi_get_cpuid",4,0
"acpi_get_data_full",493,6e-04
"acpi_get_device_data.constprop.15",493,6e-04
"acpi_get_devices",4,0
"acpi_get_dma_attr",33,0
"acpi_get_first_physical_node",17,0
"acpi_get_handle",2101,0.0025
"acpi_get_irq_routing_table",14,0
"acpi_get_name",156,2e-04
"acpi_get_object_info",54,1e-04
"acpi_get_override_irq",6,0
"acpi_get_parent",155,2e-04
"acpi_get_phys_id",5,0
"acpi_get_sleep_type_data",5,0
"acpi_get_table",11,0
"acpi_get_table_by_index",6,0
"acpi_get_type",326,4e-04
"acpi_gsi_to_irq",1,0
"acpi_has_method",1955,0.0023
"acpi_hw_clear_gpe",3,0
"acpi_hw_delete_pci_list",2,0
"acpi_hw_derive_pci_id",2,0
"acpi_hw_get_access_bit_width",90,1e-04
"acpi_hw_get_bit_register_info",17,0
"acpi_hw_get_gpe_register_bit",12,0
"acpi_hw_low_set_gpe",6,0
"acpi_hw_read",19,0
"acpi_hw_read_multiple",13,0
"acpi_hw_read_port",19,0
"acpi_hw_register_read",13,0
"acpi_hw_register_write",13,0
"acpi_hw_validate_io_request",45,1e-04
"acpi_hw_validate_register",45,1e-04
"acpi_hw_write",26,0
"acpi_hw_write_multiple",13,0
"acpi_hw_write_port",26,0
"acpi_info",1,0
"acpi_init_device_object",60,1e-04
"acpi_init_properties",60,1e-04
"acpi_install_address_space_handler",3,0
"acpi_install_cmos_rtc_space_handler",1,0
"acpi_install_fixed_event_handler",3,0
"acpi_install_global_event_handler",1,0
"acpi_install_interface",4,0
"acpi_install_interface_handler",1,0
"acpi_install_notify_handler",13,0
"acpi_install_table_handler",1,0
"acpi_ioapic_add",1,0
"acpi_irq_get_penalty",28,0
"acpi_irq_stats_init",1,0
"acpi_is_pnp_device",50,1e-04
"acpi_is_root_bridge",13,0
"acpi_is_valid_space_id",60,1e-04
"acpi_is_video_device",54,1e-04
"acpi_lock_hp_context",34,0
"acpi_lpss_platform_notify",36,0
"acpi_map_cpuid",5,0
"__acpi_match_device",588,7e-04
"acpi_match_device",36,0
"acpi_match_device_ids",60,1e-04
"acpi_ns_attach_data",60,1e-04
"acpi_ns_attach_object",32,0
"acpi_ns_build_internal_name",4171,0.0049
"acpi_ns_build_normalized_path",7768,0.0092
"acpi_ns_check_acpi_compliance",816,0.001
"acpi_ns_check_argument_count",816,0.001
"acpi_ns_check_argument_types",816,0.001
"acpi_ns_check_object_type",9765,0.0116
"acpi_ns_check_package",15,0
"acpi_ns_check_package_list",14,0
"acpi_ns_check_return_value",816,0.001
"acpi_ns_complex_repairs",801,9e-04
"acpi_ns_convert_to_resource",23,0
"acpi_ns_create_node",20,0
"acpi_ns_delete_children",141,2e-04
"acpi_ns_delete_namespace_subtree",141,2e-04
"acpi_ns_delete_node",20,0
"acpi_ns_detach_object",210,2e-04
